id,internal_reputation_score,endomarketing_engagement,benefit_satisfaction_index,employer_brand_sentiment,market_competitiveness_ratio,would_recommend_company,career_growth_perception
EMP-10000,7,8.068325681704254,6.092071620225331,Positive,1.111817441028117,1,4
EMP-10001,4,7.2503309857950935,4.541019778477187,Neutral,0.943263525271989,1,3
EMP-10002,8,9.159257627688497,3.3260374390483225,Positive,0.7126914668322806,1,5
EMP-10003,5,5.531610610011947,6.460145366290907,Neutral,0.9390257679101522,1,1
EMP-10004,7,7.309910487655869,6.928144812857783,Neutral,0.9874774307480851,0,3
EMP-10005,10,7.190179898326583,5.684306887577365,Neutral,1.0498762269484763,0,5
EMP-10006,3,7.741673938284267,4.4517500620969574,Neutral,1.0796467865425319,1,1
EMP-10007,7,9.8057067163227,5.033571818834303,Positive,0.8790967655798034,1,4
EMP-10008,8,7.314424244792271,3.8075418014930054,Neutral,0.88575799490788,1,1
EMP-10009,5,8.6146982697873,7.472205746595332,Positive,0.9956544224670427,1,4
EMP-10010,4,7.278275602386343,1.6813378300882986,Neutral,1.0455975225438199,1,5
EMP-10011,8,9.10636941506188,7.903449690004125,Positive,1.0709195685826256,1,3
EMP-10012,8,8.629272496800407,5.848124725658433,Positive,1.142698456566634,0,1
EMP-10013,3,7.000027508237994,7.043282823460548,Positive,0.7485891447254927,0,5
EMP-10014,6,6.892048408794985,7.239512248132719,Positive,1.1455310658202889,1,2
EMP-10015,5,8.230440959144518,6.234583735928503,Positive,1.1228110224729324,1,3
EMP-10016,2,6.516890940593089,5.219941626684303,Negative,1.1275218069503867,1,2
EMP-10017,8,7.785948893446816,8.212265990933249,Negative,0.9666409643216308,1,2
EMP-10018,6,6.966305133105184,2.5693614623019436,Positive,1.0382225203799305,1,3
EMP-10019,2,8.05215397223522,8.60358553329084,Positive,1.0739070229329717,1,1
EMP-10020,5,7.258473636506371,3.7533492251667666,Neutral,0.9723334807690072,1,5
EMP-10021,1,6.461128233914301,5.34878422765213,Neutral,1.1427114729981345,1,3
EMP-10022,10,9.157960361105417,8.86262522580274,Neutral,0.822770562701342,0,1
EMP-10023,6,7.859334355865072,10.0,Neutral,1.1079620801378411,1,3
EMP-10024,9,7.419621937021709,6.363942183757715,Positive,1.0741907032857714,1,3
EMP-10025,1,8.129983117831207,3.2907891316834954,Neutral,1.2279287549081772,1,1
EMP-10026,10,4.993219000655051,7.707848844057363,Positive,1.2907856650674074,1,2
EMP-10027,3,10.0,5.921941447500988,Positive,0.9712432945511681,1,4
EMP-10028,7,7.537031645828487,3.8759266674490274,Negative,1.2307148935003263,1,1
EMP-10029,4,4.555240635178013,6.438340427380866,Negative,1.0455120102160098,1,4
EMP-10030,9,9.295641789388434,3.380520996022108,Neutral,1.0497345229173711,0,4
EMP-10031,3,6.372917245975688,6.390094161104437,Positive,1.0593023050922385,0,3
EMP-10032,5,9.065570029914197,4.159512978351707,Neutral,0.7992345422519117,1,1
EMP-10033,3,7.6823512315689735,2.0640251224852197,Negative,1.1702955479815313,1,1
EMP-10034,7,5.144377762741522,2.676552104732351,Neutral,0.791829842385228,1,2
EMP-10035,5,7.891892562907776,4.784804971391291,Negative,1.0756532564746508,0,4
EMP-10036,9,7.781564172191887,7.0037358736717845,Neutral,0.6241463493528445,1,2
EMP-10037,7,9.227657204080309,8.508138671247108,Neutral,0.9674393188359828,1,5
EMP-10038,2,8.283245805582625,8.855132718309864,Neutral,0.9984408088893348,1,4
EMP-10039,4,5.640882529417363,2.9760053737832983,Positive,1.0958930933358628,1,2
EMP-10040,9,9.003403908927769,5.550936724463885,Neutral,1.2176215740642575,1,2
EMP-10041,2,6.878903350799516,4.779529385776737,Positive,0.9886739644251099,1,4
EMP-10042,10,10.0,5.787358152374363,Positive,0.8130467993038376,1,2
EMP-10043,9,6.967830168974464,8.820923652715969,Positive,0.9327984672681824,1,5
EMP-10044,10,7.183062963310117,6.322303980374621,Negative,1.0354449491489908,1,1
EMP-10045,5,6.267119501139371,7.735533921065766,Neutral,1.0231972152283366,1,5
EMP-10046,2,6.752102946488739,10.0,Positive,0.7391387775672441,0,4
EMP-10047,4,6.355588975001828,2.870283618056862,Positive,0.9231310758383445,1,3
EMP-10048,7,9.264673238049408,5.0501174875743455,Neutral,0.9200132180616037,0,4
EMP-10049,8,5.502737550668321,7.142452313556489,Neutral,0.9688615976502597,0,1
EMP-10050,3,8.706869453606464,6.533102887982319,Positive,1.0900542590226088,1,5
EMP-10051,1,8.742990182276598,8.097318056426701,Neutral,0.8816680976575475,0,2
EMP-10052,4,9.566321284419862,5.232393560277059,Positive,1.1600130536900686,1,2
EMP-10053,2,7.565642292659903,6.411988607333256,Positive,1.1108074777588193,1,3
EMP-10054,8,5.959959362888576,4.487556625177931,Neutral,0.686250615786379,1,5
EMP-10055,4,7.242362928960057,8.12772692815577,Positive,0.9373158289462442,1,2
EMP-10056,2,8.392047794971218,6.084185468249565,Neutral,1.0317942061839083,0,4
EMP-10057,6,7.627094907750207,8.807540520631857,Positive,1.2266093997173162,0,2
EMP-10058,6,8.05009162827872,8.822142124691045,Neutral,0.8202111197816615,1,1
EMP-10059,10,9.54792920383705,3.4367635157886474,Negative,0.7413504728555873,0,5
EMP-10060,4,8.373005031642924,9.129915270057351,Positive,1.0335200677466452,1,2
EMP-10061,6,7.797662292796283,7.862173040653687,Neutral,0.8489420182053979,1,2
EMP-10062,2,4.73345750666897,5.686885986500895,Positive,0.9890217352000199,0,1
EMP-10063,10,6.324224123017924,7.682455013463883,Neutral,0.8906028620255976,1,2
EMP-10064,2,6.892987322708717,4.9842258512794775,Negative,1.138140478568177,1,3
EMP-10065,10,4.534330230818317,8.722091195319846,Neutral,1.1114265271561024,0,5
EMP-10066,4,5.836097120299249,6.198369387719118,Positive,0.9090359668992261,1,2
EMP-10067,8,7.097321158204854,7.775908490412026,Neutral,1.2266319469952338,1,4
EMP-10068,7,7.3414229629483545,4.738291422999931,Positive,1.0095416228651923,1,2
EMP-10069,9,8.258715398465489,6.563416007998995,Neutral,1.0495883590699382,0,3
EMP-10070,8,7.1920611089229105,7.771888647200703,Neutral,0.9006636648022714,1,4
EMP-10071,5,7.872060964343707,6.615501112412465,Positive,0.8894728317801417,1,3
EMP-10072,2,6.873315826381402,7.122797492783496,Negative,1.2299687807769177,1,1
EMP-10073,5,7.563019844330213,4.480507457882803,Neutral,1.0173956704223586,1,4
EMP-10074,8,8.176459216127562,6.609074797031916,Positive,1.03407262401909,1,4
EMP-10075,10,9.708945375994587,4.490812861933199,Positive,0.9232844069850317,1,3
EMP-10076,9,6.728035787848181,5.963276365808705,Positive,1.04091552136724,1,3
EMP-10077,9,7.716272987263394,5.0141336854378675,Positive,1.002683581105374,1,1
EMP-10078,1,8.803691305827291,5.590747039303689,Positive,0.9972876738503782,1,4
EMP-10079,9,5.340609588254674,2.4967466607415165,Positive,1.2475949091124547,1,4
EMP-10080,7,10.0,6.052932179231351,Positive,1.0200628178796818,0,4
EMP-10081,9,9.268546128887921,5.784940384383828,Positive,0.8301949129863456,1,4
EMP-10082,8,4.93276727195259,2.969223947041408,Neutral,1.0747334770442922,1,1
EMP-10083,1,8.05707276240516,6.682531890945278,Positive,0.9447870406471204,1,2
EMP-10084,8,6.653319849203827,7.652045845923481,Positive,0.8479067547764028,1,4
EMP-10085,8,6.903977952122833,6.630548141898666,Neutral,0.8927546102765731,1,5
EMP-10086,3,8.025752245233157,7.571368499145461,Positive,1.163465951410395,0,1
EMP-10087,1,9.075599303811659,4.94603746335232,Neutral,0.8458198753516771,0,2
EMP-10088,8,6.801190586740072,5.574434974555817,Positive,0.853350529715315,0,3
EMP-10089,3,6.82132769132459,6.148351002494395,Positive,1.0094206131215226,0,2
EMP-10090,3,8.058250143549163,6.291980722322567,Negative,0.9507750471959936,1,3
EMP-10091,1,8.357934482958749,1.3006562843813434,Positive,0.8529208479649085,1,5
EMP-10092,5,5.989302942293879,4.1582287391633415,Negative,1.1379841320578328,1,1
