id,a1_gender,a2_age,a3_number_of_children,a4_children_under_18_years,a5_age_youngest_children,a6_education_level,B2_Public_service_status_ger,B1_commute_distance_in_km,B3_early_retirement_rate,B4_sickness_days,B5_Degree_of_employment,B6_gross_working_days,B7_Vacation_days,B8_net_working_days,B9_salary_increase_last_year,B10_Tenure_in_month,B11_salary_today_brl,B12_salary_increase_last_5_years,B13_Parental_leave,D1_monthly_unemployment_rate_brazil,D2_monthly_number_of_vacancies,D3_monthly_short_time_workers,B14_Cargo,B15_Sector,B16_Headquarters,c1_overall_employee_satisfaction,c2_employee_satisfaction_moving_average,M_Onb_3d_Integration,M_eNPS,M_Onb_15d_Credibility,M_Onb_15d_Respect,M_Onb_15d_Impartiality,M_Onb_15d_Pride,M_Onb_15d_Camaraderie,M_Onb_30d_Credibility,M_Onb_30d_Respect,M_Onb_30d_Impartiality,M_Onb_30d_Pride,M_Onb_30d_Camaraderie,Climate_Cred_Informative_Comm,Climate_Cred_Accessible_Comm,Climate_Cred_Coordination,Climate_Cred_Supervision,Climate_Cred_Clear_Vision,Climate_Cred_Reliability,Climate_Resp_Prof_Appreciation,Climate_Resp_Indiv_Effort,Climate_Resp_Collaboration,Climate_Resp_Work_Env,Climate_Resp_Personal_Life,Climate_Imp_Payment,Climate_Imp_Belonging,Climate_Imp_Impartiality_Recog,Climate_Imp_Treatment,Climate_Imp_Resources,Climate_Pride_Work,Climate_Pride_Team,Climate_Pride_Company,Climate_Cam_Closeness,Climate_Cam_Relaxation,Climate_Cam_Welcoming,Climate_Cam_Community,E_Exit_Reason,E_Exit_Satisfaction,Turnover
EMP-0,Male,26,0,0,,High School,0,10.2,0.0,4,0.75,187,22,161,154.15,55,2520.0,154.15,0,9.04,398,35,Analyst,Legal,Rio de Janeiro,6,5.75,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,4,4,4,5,5,5,5,5,5,Better Offer,5.0,1
EMP-1,Male,46,2,1,0.0,Bachelor,0,28.7,0.0,2,1.0,250,30,218,319.77,17,3600.0,319.77,0,7.98,587,134,Analyst,Marketing,Sao Paulo,5,5.95,4,6,5,5,4,5,5,5,4,5,5,3,5,5,5,5,4,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,Dissatisfaction,3.0,1
EMP-2,Female,29,2,2,3.0,High School,0,8.0,0.0,5,1.0,250,30,215,504.59,74,3770.0,701.55,0,10.62,506,45,Assistant,Legal,Sao Paulo,8,8.86,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-3,Female,45,1,1,21.0,Bachelor,0,7.8,0.0,11,1.0,250,30,209,0.0,6,3370.0,0.0,0,11.55,385,67,Assistant,Legal,Sao Paulo,7,7.86,4,7,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-4,Male,32,2,0,3.0,No Degree,0,22.1,0.0,4,1.0,250,30,216,309.6,58,3480.0,309.6,0,9.72,438,125,Specialist,Marketing,Rio de Janeiro,7,7.69,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-5,Male,67,0,0,,High School,1,10.9,0.39379253726215296,9,1.0,250,30,211,607.28,112,4910.0,1006.16,0,8.03,341,23,Specialist,Marketing,Sao Paulo,5,5.77,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,4,3,None,,0
EMP-6,Female,39,2,1,15.0,High School,0,2.0,0.0,3,1.0,250,30,217,1292.78,103,4450.0,2089.42,0,8.91,623,20,Assistant,Marketing,Belo Horizonte,7,7.04,4,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,None,,0
EMP-7,Male,39,1,1,10.0,High School,0,4.6,0.0,3,1.0,250,30,217,0.0,8,2550.0,0.0,0,13.28,705,4,Analyst,HR,Sao Paulo,6,6.18,5,6,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,5,5,5,4,4,Dissatisfaction,3.0,1
EMP-8,Male,53,2,0,5.0,Master,0,12.9,0.0,5,1.0,250,30,215,319.67,16,4350.0,319.67,0,13.83,679,16,Assistant,HR,Rio de Janeiro,4,4.4,5,3,4,5,3,2,3,4,5,3,5,3,4,3,4,4,4,4,5,4,5,3,5,5,2,4,5,4,5,4,4,4,5,4,5,Retirement,3.0,1
EMP-9,Female,18,0,0,,Master,0,10.6,0.0,6,1.0,250,30,214,0.0,0,3680.0,0.0,0,9.69,589,24,Manager,Finance,Rio de Janeiro,8,8.65,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-10,Female,40,0,0,,Bachelor,0,3.9,0.0,4,1.0,250,30,216,238.23,28,3760.0,238.23,0,11.23,566,9,Assistant,Operations,Sao Paulo,5,5.68,5,5,4,3,5,4,5,5,3,5,5,5,3,4,5,4,5,5,5,4,5,4,5,5,5,5,4,5,3,3,4,4,5,5,5,Dissatisfaction,4.0,1
EMP-11,Male,37,2,2,7.0,High School,0,2.2,0.0,5,1.0,250,30,215,0.0,11,2590.0,0.0,0,8.43,571,49,Analyst,Legal,Belo Horizonte,6,6.53,5,9,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,4,5,4,5,5,5,5,5,5,5,5,5,Better Offer,4.0,1
EMP-12,Female,28,1,1,9.0,Master,0,4.0,0.0,3,1.0,250,30,217,420.53,28,4340.0,420.53,0,9.08,364,-27,Manager,Operations,Sao Paulo,9,9.12,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-13,Male,44,0,0,,Bachelor,0,16.3,0.0,7,1.0,250,30,213,300.35,62,4480.0,1702.45,0,8.3,498,52,Analyst,Operations,Sao Paulo,6,6.63,5,8,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-14,Male,32,1,1,13.0,Master,0,13.9,0.0,2,1.0,250,30,218,340.17,29,4400.0,340.17,0,8.97,476,25,Specialist,Marketing,Sao Paulo,6,6.27,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,None,,0
