id,a1_gender,a2_age,a3_number_of_children,a4_children_under_18_years,a5_age_youngest_children,a6_education_level,B2_Public_service_status_ger,B1_commute_distance_in_km,B3_early_retirement_rate,B4_sickness_days,B5_Degree_of_employment,B6_gross_working_days,B7_Vacation_days,B8_net_working_days,B9_salary_increase_last_year,B10_Tenure_in_month,B11_salary_today_brl,B12_salary_increase_last_5_years,B13_Parental_leave,D1_monthly_unemployment_rate_brazil,D2_monthly_number_of_vacancies,D3_monthly_short_time_workers,B14_Cargo,B15_Sector,B16_Headquarters,b1_PDI_rate,c1_overall_employee_satisfaction,c2_employee_satisfaction_moving_average,M_Onb_3d_Integration,M_eNPS,M_Onb_15d_Credibility,M_Onb_15d_Respect,M_Onb_15d_Impartiality,M_Onb_15d_Pride,M_Onb_15d_Camaraderie,M_Onb_30d_Credibility,M_Onb_30d_Respect,M_Onb_30d_Impartiality,M_Onb_30d_Pride,M_Onb_30d_Camaraderie,Climate_Cred_Informative_Comm,Climate_Cred_Accessible_Comm,Climate_Cred_Coordination,Climate_Cred_Supervision,Climate_Cred_Clear_Vision,Climate_Cred_Reliability,Climate_Resp_Prof_Appreciation,Climate_Resp_Indiv_Effort,Climate_Resp_Collaboration,Climate_Resp_Work_Env,Climate_Resp_Personal_Life,Climate_Imp_Payment,Climate_Imp_Belonging,Climate_Imp_Impartiality_Recog,Climate_Imp_Treatment,Climate_Imp_Resources,Climate_Pride_Work,Climate_Pride_Team,Climate_Pride_Company,Climate_Cam_Closeness,Climate_Cam_Relaxation,Climate_Cam_Welcoming,Climate_Cam_Community,E_Exit_Reason,E_Exit_Satisfaction,Turnover
EMP-0,Male,26,0,0,,High School,0,10.2,0.0,4,0.75,187,22,161,154.15,55,2520.0,154.15,0,9.04,398,35,Analyst,Legal,Rio de Janeiro,0.91,6,5.75,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,4,4,4,5,5,5,5,5,5,Better Offer,5.0,1
EMP-1,Male,41,3,2,14.0,High School,0,3.9,0.0,7,1.0,250,30,213,449.11,13,2670.0,449.11,0,9.07,489,-27,Analyst,Sales,Curitiba,0.92,9,8.84,5,10,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-2,Male,38,0,0,,No Degree,0,7.5,0.0,5,0.75,187,22,160,178.35,67,2790.0,811.81,0,7.65,753,-52,Specialist,Finance,Curitiba,0.81,8,8.74,5,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-3,Male,33,1,1,5.0,Bachelor,0,7.8,0.0,11,1.0,250,30,209,0.0,6,3250.0,0.0,0,11.55,385,67,Assistant,Legal,Sao Paulo,0.71,7,7.86,4,7,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-4,Female,34,0,0,,Master,0,12.5,0.0,10,1.0,250,30,210,678.12,46,4760.0,678.12,0,8.92,445,-43,Analyst,HR,Rio de Janeiro,0.8,6,6.92,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-5,Female,29,2,2,11.0,Bachelor,0,5.7,0.0,4,1.0,250,30,216,824.74,120,5490.0,1745.78,0,11.94,686,-19,Specialist,Marketing,Sao Paulo,0.87,5,5.22,4,6,5,5,5,5,5,3,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,4,4,5,3,3,5,5,5,5,5,None,,0
EMP-6,Female,41,3,2,15.0,High School,0,6.8,0.0,7,1.0,250,30,213,145.69,45,3310.0,145.69,0,7.33,152,6,Assistant,HR,Curitiba,0.33,9,8.98,5,7,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-7,Female,38,1,0,15.0,High School,0,3.5,0.0,5,1.0,250,30,215,419.13,98,4340.0,1259.67,0,10.73,507,-20,Specialist,HR,Rio de Janeiro,0.94,5,5.7,3,8,5,4,3,5,4,5,4,5,5,5,5,4,4,5,5,5,4,5,5,5,3,5,5,5,5,5,5,3,5,4,5,5,4,Better Offer,5.0,1
EMP-8,Female,50,1,0,19.0,High School,0,3.6,0.0,8,0.5,125,15,102,464.88,85,2100.0,816.84,0,12.7,456,34,Specialist,Marketing,Rio de Janeiro,0.58,9,9.6,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,,0
EMP-9,Female,36,1,1,10.0,High School,0,10.2,0.0,4,1.0,250,30,216,265.49,42,3200.0,265.49,0,11.25,659,-5,Director,Operations,Remote,0.2,6,6.23,5,4,5,5,5,5,4,5,4,5,4,5,5,5,5,4,4,3,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,None,,0
